Term,Course Division,Course,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
Summer 2015,Lower Division,HSCI120__01,6,10,8,6,3,3,1,2,0,0,0,0
Summer 2015,Lower Division,IST_101__01,3,2,4,11,6,5,3,0,2,1,1,1
Summer 2015,Upper Division,MKTG305__03,15,4,7,2,2,2,2,0,0,1,0,4
Summer 2015,Upper Division,PSYC390__01,7,4,4,4,2,7,3,2,3,3,0,0
Summer 2015,Lower Division,KINE205__02,12,13,6,0,2,2,0,2,0,0,0,1
Summer 2015,Upper Division,SOC_309__01,6,2,2,10,6,2,5,1,1,2,0,1
Summer 2015,Lower Division,HIST200__01,3,3,3,5,7,6,1,1,2,0,3,3
Summer 2015,Upper Division,CJUS598__01,24,6,1,3,2,1,0,0,0,0,0,0
Summer 2015,Upper Division,FIN_314__01,7,8,3,4,5,4,4,0,0,0,0,2
Summer 2015,Lower Division,HIST142__01,19,4,5,3,4,0,0,1,0,0,0,0
Summer 2015,Upper Division,FIN_430__01,1,19,9,6,0,0,1,0,0,0,0,0
Summer 2015,Upper Division,IST_309__70,3,5,5,6,6,1,3,1,0,3,1,2
Summer 2015,Upper Division,SCM_304__01,7,1,9,6,5,3,2,0,0,1,0,2
Summer 2015,Upper Division,SSCI325__02,3,2,2,10,6,2,6,3,0,1,0,1
Summer 2015,Lower Division,ADMN210__01,7,4,2,8,0,0,12,0,0,1,0,1
Summer 2015,Lower Division,ARAB210__01,6,0,1,7,0,7,7,0,2,0,0,5
Summer 2015,Lower Division,IST_101__70,15,6,0,5,2,2,5,0,0,0,0,0
Summer 2015,Lower Division,SPAN290__70,3,4,3,5,7,1,3,2,0,1,1,5
Summer 2015,Upper Division,CJUS312__70,3,1,6,4,0,3,4,4,2,6,1,1
Summer 2015,Upper Division,IST_309__71,0,2,1,8,6,5,7,1,1,2,1,1
Summer 2015,Upper Division,MGMT302__01,6,7,4,6,7,1,3,0,1,0,0,0
Summer 2015,Upper Division,SSCI316__40,11,4,4,9,2,1,3,0,0,1,0,0
Summer 2015,Upper Division,PA__315__01,3,9,7,5,4,2,4,0,0,0,0,0
Summer 2015,Upper Division,PSYC362__01,7,2,4,1,5,4,2,5,3,1,0,0
Summer 2015,Upper Division,IST_309__01,7,3,5,5,3,2,5,1,0,2,0,0
Summer 2015,Upper Division,MGMT442__01,5,9,3,7,9,0,0,0,0,0,0,0
Summer 2015,Lower Division,ACCT211__03,8,5,3,6,4,0,3,0,0,1,1,1
Summer 2015,Lower Division,BIOL220__01,7,13,3,3,0,2,2,1,1,0,0,0
Summer 2015,Lower Division,ECON200__02,1,0,1,4,3,4,9,1,1,0,0,8
Summer 2015,Lower Division,MUS_180__01,19,4,2,1,2,1,0,0,0,1,2,0
Summer 2015,Upper Division,SOC_311__01,15,5,3,5,3,0,1,0,0,0,0,0
Summer 2015,Lower Division,KINE114E_04,26,3,0,0,1,1,0,0,0,0,0,0
Summer 2015,Lower Division,PHIL190__02,3,6,8,8,3,2,1,0,0,0,0,0
Summer 2015,Upper Division,CJUS451__01,3,6,8,9,1,1,1,0,0,1,0,1
Summer 2015,Upper Division,FIN_314__03,4,2,6,4,0,5,6,0,0,0,0,4
Summer 2015,Upper Division,HD__310__01,6,5,1,4,3,3,3,4,0,0,0,2
Summer 2015,Upper Division,MATH329__01,3,9,3,14,1,0,1,0,0,0,0,0
Summer 2015,Upper Division,PSYC302__70,7,17,2,1,1,0,1,1,0,0,0,1
Summer 2015,Upper Division,PSYC340__70,6,6,3,6,1,3,1,0,0,0,0,5
Summer 2015,Lower Division,GEOL101__01,10,2,4,10,0,3,1,0,0,0,0,0
Summer 2015,Lower Division,PHIL190__03,4,2,7,7,5,2,0,2,0,0,0,1
Summer 2015,Upper Division,CJUS312__71,1,0,0,9,1,4,5,1,2,7,0,0
Summer 2015,Upper Division,FIN_432__01,24,1,1,3,0,1,0,0,0,0,0,0
Summer 2015,Upper Division,HSCI350__01,4,3,5,5,9,1,3,0,0,0,0,0
Summer 2015,Upper Division,PSYC318__01,13,3,6,7,1,0,0,0,0,0,0,0
Summer 2015,Upper Division,PSYC320__01,6,4,2,12,4,0,2,0,0,0,0,0
Summer 2015,Upper Division,PSYC357__70,4,3,4,5,6,4,1,1,1,1,0,0
Summer 2015,Upper Division,PSYC363__01,6,2,2,2,6,3,3,2,3,0,0,1
Summer 2015,Graduate Division,ACCT606__70,7,5,6,5,5,0,1,0,0,0,0,0
Summer 2015,Lower Division,ARAB211__02,16,2,3,5,1,0,0,0,0,0,0,2
Summer 2015,Lower Division,GEOL210__01,18,2,1,5,0,0,2,0,0,0,0,1
Summer 2015,Lower Division,MGMT230__01,2,4,5,0,4,2,11,0,0,0,0,1
Summer 2015,Lower Division,PHYS100__01,4,2,4,8,2,4,3,1,0,1,0,0
Summer 2015,Upper Division,ACCT347__01,9,7,3,5,3,1,1,0,0,0,0,0
Summer 2015,Upper Division,ACCT426__01,12,0,6,1,2,1,4,0,0,0,2,1
Summer 2015,Upper Division,MGMT490__03,9,4,8,6,1,1,0,0,0,0,0,0
Summer 2015,Upper Division,MKTG305__01,9,3,3,2,1,3,5,0,0,1,0,2
Summer 2015,Upper Division,PSYC382__70,5,1,2,9,4,0,3,2,1,1,0,1
Summer 2015,Graduate Division,MGMT601__70,7,0,9,7,3,1,1,0,0,0,0,0
Summer 2015,Graduate Division,MKTG605__70,11,13,4,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,HIST201__01,7,2,4,8,1,1,4,0,0,1,0,0
Summer 2015,Lower Division,PSYC100__01,4,0,2,3,1,5,1,5,0,2,0,5
Summer 2015,Upper Division,MGMT405__70,5,10,3,2,4,3,0,0,0,0,0,1
Summer 2015,Upper Division,MGMT455__1_,23,1,0,4,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,MKTG430__70,7,11,0,4,2,1,3,0,0,0,0,0
Summer 2015,Lower Division,ART_112B_01,8,10,6,2,0,1,0,0,0,0,0,0
Summer 2015,Lower Division,MATH110__01,8,2,3,3,3,2,6,0,0,0,0,0
Summer 2015,Upper Division,CJUS311__70,2,7,3,8,1,4,2,0,0,0,0,0
Summer 2015,Upper Division,FIN_435__01,5,7,1,7,3,2,2,0,0,0,0,0
Summer 2015,Upper Division,MGMT306__03,10,3,6,7,0,0,1,0,0,0,0,0
Summer 2015,Upper Division,SCM_304__02,1,2,2,1,3,9,8,0,0,0,0,1
Summer 2015,Upper Division,SSCI316__03,2,7,2,6,3,3,0,0,2,0,0,2
Summer 2015,Graduate Division,MGMT685__70,6,11,5,3,0,0,0,0,0,0,0,1
Summer 2015,Lower Division,FIN_101__03,3,2,2,7,1,4,2,0,0,1,1,3
Summer 2015,Upper Division,ENG_306__03,1,8,4,8,3,0,2,0,0,0,0,0
Summer 2015,Upper Division,MGMT330__01,5,5,5,4,4,2,0,0,0,1,0,0
Summer 2015,Upper Division,PSYC333__01,4,3,4,3,4,4,1,1,0,1,0,1
Summer 2015,Upper Division,PSYC351__01,6,0,1,3,3,3,3,1,3,1,1,1
Summer 2015,Graduate Division,IST_609__70,5,15,1,1,1,0,0,0,0,2,0,0
Summer 2015,Lower Division,ADMN210__70,4,3,2,1,4,1,5,0,0,1,0,4
Summer 2015,Lower Division,MATH212__01,1,1,0,3,3,0,1,0,0,0,2,14
Summer 2015,Upper Division,CJUS340__70,0,1,2,1,2,7,5,1,0,3,1,2
Summer 2015,Upper Division,CJUS555__70,0,4,5,2,2,1,1,5,2,0,1,2
Summer 2015,Upper Division,ENG_306__05,11,6,2,3,2,1,0,0,0,0,0,0
Summer 2015,Upper Division,ENG_306__06,23,2,0,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,HSCI315__01,14,5,0,2,1,0,1,0,0,0,0,2
Summer 2015,Upper Division,HSCI367__01,3,3,4,3,5,1,4,0,1,0,0,1
Summer 2015,Upper Division,KINE481__01,3,2,2,5,8,1,0,3,1,0,0,0
Summer 2015,Upper Division,MATH545__01,13,3,3,3,3,0,0,0,0,0,0,0
Summer 2015,Upper Division,MKTG420__01,8,11,5,0,0,0,0,0,0,0,0,1
Summer 2015,Upper Division,PSYC355__70,7,5,5,3,1,2,2,0,0,0,0,0
Summer 2015,Upper Division,PSYC360__01,4,0,4,3,2,3,3,3,1,0,1,1
Summer 2015,Lower Division,MATH213__01,5,0,1,2,3,4,0,1,0,4,0,4
Summer 2015,Upper Division,COMM401__70,3,6,4,1,3,2,3,1,0,0,1,0
Summer 2015,Upper Division,ENG_303B_70,11,7,2,2,1,0,0,0,0,0,0,1
Summer 2015,Upper Division,ENG_311__70,1,3,4,4,3,0,2,2,0,2,1,2
Summer 2015,Upper Division,FIN_433__01,6,0,4,3,0,2,4,0,2,0,0,3
Summer 2015,Upper Division,MGMT490__02,6,4,7,4,1,1,0,0,0,0,0,1
Summer 2015,Upper Division,PA__315__02,14,1,4,1,1,0,1,0,0,1,0,1
Summer 2015,Upper Division,PSYC421__01,2,1,2,10,2,2,3,0,2,0,0,0
Summer 2015,Lower Division,ACCT211__02,1,2,3,3,3,3,2,1,0,2,2,1
Summer 2015,Lower Division,COMM180__01,4,6,7,1,1,1,0,0,0,0,0,3
Summer 2015,Lower Division,FIN_101__01,9,4,2,2,0,2,2,0,0,1,1,0
Summer 2015,Lower Division,KINE200__01,20,0,2,0,0,0,0,0,0,0,0,1
Summer 2015,Lower Division,PHIL190__04,5,3,6,2,2,0,3,2,0,0,0,0
Summer 2015,Upper Division,EESL536__01,22,1,0,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,ENG_306__04,3,2,5,9,3,0,1,0,0,0,0,0
Summer 2015,Upper Division,ESEC407__01,23,0,0,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,ESEC410__01,23,0,0,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,FIN_432__02,13,2,2,5,1,0,0,0,0,0,0,0
Summer 2015,Upper Division,KINE480__01,7,2,4,3,3,3,0,1,0,0,0,0
Summer 2015,Upper Division,MGMT306__70,3,4,5,4,3,3,1,0,0,0,0,0
Summer 2015,Upper Division,PSYC391__01,7,2,2,2,3,1,4,1,0,0,0,1
Summer 2015,Upper Division,SSCI306__01,6,8,1,2,2,1,3,0,0,0,0,0
Summer 2015,Lower Division,ADMN210__02,5,0,3,3,1,0,6,0,0,3,0,1
Summer 2015,Lower Division,ARAB210__02,3,0,0,5,0,5,5,0,2,1,0,1
Summer 2015,Lower Division,ARAB211__01,11,2,3,2,3,0,0,0,1,0,0,0
Summer 2015,Lower Division,PHIL194__01,1,5,1,2,2,2,3,3,0,1,2,0
Summer 2015,Upper Division,ACCT372__01,6,0,2,2,3,2,4,0,1,0,1,1
Summer 2015,Upper Division,ESEC413__01,16,6,0,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,MGMT306__01,2,0,1,12,2,1,4,0,0,0,0,0
Summer 2015,Upper Division,MGMT350__70,3,5,5,5,2,0,2,0,0,0,0,0
Summer 2015,Upper Division,PSYC328__01,1,2,1,7,0,1,4,1,1,3,0,1
Summer 2015,Upper Division,PSYC377__70,5,5,3,2,1,1,1,1,0,0,0,3
Summer 2015,Upper Division,SSCI306__02,15,2,1,3,0,0,1,0,0,0,0,0
Summer 2015,Graduate Division,ECLG665__01,12,5,3,0,0,0,0,0,0,0,0,1
Summer 2015,Graduate Division,ECLG668__01,11,8,1,1,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,COMM120__01,4,1,7,4,0,1,2,0,1,0,0,1
Summer 2015,Lower Division,MATH211__01,5,2,6,1,3,1,1,0,0,0,0,2
Summer 2015,Lower Division,PHIL191__01,3,1,0,4,4,0,3,0,0,0,1,5
Summer 2015,Lower Division,PSYC201__01,5,2,2,3,2,2,0,3,1,0,0,1
Summer 2015,Lower Division,TA__160__01,15,1,1,3,1,0,0,0,0,0,0,0
Summer 2015,Upper Division,ACCT373__02,4,2,3,1,0,2,2,0,1,2,3,1
Summer 2015,Upper Division,ART_395__70,20,1,0,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,MATH355__01,7,2,4,3,5,0,0,0,0,0,0,0
Summer 2015,Upper Division,MATH372__01,8,3,1,1,1,0,0,2,1,1,1,2
Summer 2015,Upper Division,SSCI300__01,15,4,1,1,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ACCT212__01,2,0,3,4,2,1,5,0,0,3,0,0
Summer 2015,Lower Division,ACCT212__02,1,4,1,1,1,3,6,2,0,1,0,0
Summer 2015,Lower Division,ANTH100__01,8,5,5,1,1,0,0,0,0,0,0,0
Summer 2015,Lower Division,FREN290__71,6,3,1,3,2,2,2,0,0,1,0,0
Summer 2015,Lower Division,KINE114E_02,18,2,0,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,KINE137J_01,18,0,2,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,KINE137J_02,18,2,0,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,PHIL190__01,4,2,6,4,3,1,0,0,0,0,0,0
Summer 2015,Upper Division,COMM311__01,6,6,5,3,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,EESL536__70,18,0,1,1,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,ENG_306__02,6,3,0,5,2,2,2,0,0,0,0,0
Summer 2015,Upper Division,FIN_313__04,5,2,0,2,0,0,1,0,0,0,1,9
Summer 2015,Upper Division,KINE360__02,3,0,4,4,3,2,1,2,0,0,0,1
Summer 2015,Upper Division,PSYC311__49,3,2,1,3,4,3,2,0,1,0,0,1
Summer 2015,Graduate Division,EDUC603__01,17,2,0,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ANTH140__01,2,3,4,2,1,0,3,1,0,1,0,2
Summer 2015,Lower Division,BIOL216__01,9,0,5,3,0,0,2,0,0,0,0,0
Summer 2015,Lower Division,COMM120__02,6,3,1,2,1,1,0,1,0,0,1,3
Summer 2015,Lower Division,KINE270__02,11,5,1,0,1,0,0,1,0,0,0,0
Summer 2015,Lower Division,MATH211__02,1,1,0,3,2,0,2,3,0,2,0,5
Summer 2015,Lower Division,PHIL101__01,14,0,0,2,0,0,0,0,0,0,0,3
Summer 2015,Upper Division,CJUS330__01,2,6,1,6,2,1,0,1,0,0,0,0
Summer 2015,Upper Division,COMM320__01,4,3,4,7,0,1,0,0,0,0,0,0
Summer 2015,Upper Division,KINE360__01,8,1,3,3,1,1,1,0,0,0,0,1
Summer 2015,Upper Division,MGMT302__02,4,5,2,1,4,0,2,0,1,0,0,0
Summer 2015,Upper Division,MGMT490__01,6,4,2,5,0,0,2,0,0,0,0,0
Summer 2015,Upper Division,NSCI306__01,10,5,2,2,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,PSYC310__01,6,2,0,4,2,2,2,0,1,0,0,0
Summer 2015,Upper Division,PSYC331__01,7,2,3,2,0,2,2,0,0,1,0,0
Summer 2015,Graduate Division,EADM626D_70,16,1,0,1,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ECON200__01,5,1,0,1,1,1,2,1,1,2,2,1
Summer 2015,Lower Division,HSCI273__02,7,2,4,2,1,0,1,0,1,0,0,0
Summer 2015,Lower Division,PSYC105__01,2,3,2,5,2,2,0,0,0,0,1,1
Summer 2015,Lower Division,SW__200__70,6,4,4,0,2,1,0,0,0,0,0,1
Summer 2015,Upper Division,COMM401__71,4,2,1,3,1,1,1,3,0,1,0,1
Summer 2015,Upper Division,FIN_313__02,9,1,0,0,1,1,0,0,1,0,0,5
Summer 2015,Upper Division,FLAN555B_01,9,9,0,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,HUM_340__01,2,2,5,7,0,0,0,0,0,2,0,0
Summer 2015,Upper Division,NSCI306__02,4,5,3,4,0,2,0,0,0,0,0,0
Summer 2015,Upper Division,PSCI330__01,6,1,5,1,4,0,1,0,0,0,0,0
Summer 2015,Upper Division,PSYC422__01,9,6,1,2,0,0,0,0,0,0,0,0
Summer 2015,Graduate Division,ECLG660__01,7,6,2,1,0,0,0,0,0,0,0,1
Summer 2015,Graduate Division,ECLG693__01,13,4,0,0,0,0,0,0,0,0,0,0
Summer 2015,Graduate Division,PA__661__01,14,3,0,0,0,0,0,0,0,0,0,0
Summer 2015,Graduate Division,PA__690__70,3,6,4,1,2,0,0,0,0,0,0,1
Summer 2015,Lower Division,ARAB214__01,4,0,7,6,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,FIN_101__02,1,1,0,8,1,5,0,1,0,0,0,0
Summer 2015,Lower Division,KINE114E_01,14,1,1,1,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,KINE205__03,5,0,0,7,0,0,4,0,0,0,0,1
Summer 2015,Lower Division,MATH272__01,6,1,2,3,0,1,2,0,1,0,1,0
Summer 2015,Lower Division,PHIL105__01,5,2,2,1,0,0,0,4,0,0,0,3
Summer 2015,Upper Division,ART_301__03,0,13,4,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,KINE310__01,16,1,0,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,MGMT306__02,0,1,2,7,2,0,5,0,0,0,0,0
Summer 2015,Upper Division,MGMT335__01,3,11,1,2,0,0,0,0,0,0,0,0
Summer 2015,Graduate Division,EADM626A_17,13,2,0,0,0,0,0,0,0,1,0,0
Summer 2015,Graduate Division,SCM_607__01,6,6,1,0,3,0,0,0,0,0,0,0
Summer 2015,Lower Division,ARAB103__05,10,2,3,1,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ASL_101__01,0,0,0,0,6,2,2,3,1,0,1,1
Summer 2015,Lower Division,ENG_107__02,3,1,5,2,3,0,2,0,0,0,0,0
Summer 2015,Lower Division,ENG_170__01,10,2,0,3,0,0,0,0,0,0,0,1
Summer 2015,Upper Division,MKTG416__01,4,4,1,1,4,1,1,0,0,0,0,0
Summer 2015,Graduate Division,EADM734__01,2,8,0,3,2,0,0,0,0,0,0,0
Summer 2015,Graduate Division,EDUC702__01,15,0,0,0,0,0,0,0,0,0,0,0
Summer 2015,Graduate Division,EDUC726__01,14,0,0,1,0,0,0,0,0,0,0,0
Summer 2015,Graduate Division,EDUC790__02,12,3,0,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ARAB201__01,1,5,8,1,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ARAB202__01,2,3,6,4,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,COMM120__03,2,1,1,6,1,1,1,0,1,0,1,0
Summer 2015,Lower Division,ECON202__02,2,0,0,0,2,3,1,0,6,0,1,0
Summer 2015,Upper Division,KINE305__01,0,2,2,7,4,0,0,0,0,0,0,0
Summer 2015,Upper Division,SSCI306__03,5,2,1,6,1,0,0,0,0,0,0,0
Summer 2015,Graduate Division,EADM625__01,12,1,0,0,1,0,0,0,0,0,0,0
Summer 2015,Graduate Division,EADM738__01,3,5,2,3,0,0,0,0,0,0,0,1
Summer 2015,Lower Division,ARAB101__01,12,2,0,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ARAB102__01,8,0,1,2,1,0,1,0,1,0,0,0
Summer 2015,Lower Division,ARAB103__01,8,0,1,0,2,0,0,2,1,0,0,0
Summer 2015,Lower Division,ARAB203__03,9,1,1,2,0,0,0,0,0,1,0,0
Summer 2015,Lower Division,FIN_101__04,2,1,2,2,1,0,1,3,0,0,0,2
Summer 2015,Lower Division,KINE114E_03,14,0,0,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,MATH120__01,2,2,3,1,2,2,2,0,0,0,0,0
Summer 2015,Upper Division,ENG_420__01,4,1,1,4,2,0,1,1,0,0,0,0
Summer 2015,Upper Division,MGMT306__04,3,3,1,5,0,1,1,0,0,0,0,0
Summer 2015,Graduate Division,EADM607__17,12,1,0,0,0,0,0,0,0,0,0,0
Summer 2015,Graduate Division,NURS660__01,13,0,0,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ARAB101__02,9,3,1,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ARAB102__02,8,4,1,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ARAB203__01,3,1,2,6,1,0,0,0,0,0,0,0
Summer 2015,Lower Division,GEOG103__01,1,2,0,0,2,1,5,0,1,1,0,0
Summer 2015,Upper Division,FIN_432__49,11,0,0,1,0,0,1,0,0,0,0,0
Summer 2015,Upper Division,SOC_301__01,0,5,4,2,1,0,1,0,0,0,0,0
Summer 2015,Graduate Division,EADM685__01,8,4,0,0,0,0,0,0,0,0,0,0
Summer 2015,Graduate Division,EADM686__01,8,4,0,0,0,0,0,0,0,0,0,0
Summer 2015,Graduate Division,NURS659__01,12,0,0,0,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ARAB201__02,8,0,1,1,1,0,0,0,0,1,0,0
Summer 2015,Lower Division,COMM200__01,6,1,3,1,1,0,0,0,0,0,0,0
Summer 2015,Lower Division,PHYS222__01,1,0,0,2,2,2,2,1,0,1,0,1
Summer 2015,Lower Division,SW__200__01,4,4,1,1,1,1,0,0,0,0,0,0
Summer 2015,Upper Division,FIN_435__03,4,2,3,1,0,1,0,0,0,1,0,0
Summer 2015,Graduate Division,EADM622__01,7,3,0,1,0,0,0,0,0,0,0,0
Summer 2015,Lower Division,ARAB202__02,7,1,0,1,1,0,0,0,0,1,0,0
Summer 2015,Lower Division,CHEM100__01,2,2,2,2,1,0,0,1,0,0,0,1
Summer 2015,Lower Division,MATH110__02,2,2,0,0,2,2,3,0,0,0,0,0
Summer 2015,Pre-Baccalaureate,MATH090__01,1,0,0,1,1,0,8,0,0,0,0,0
Summer 2015,Upper Division,ARAB301__01,9,1,1,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,ARAB314__01,9,1,1,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,ART_301__01,4,3,4,0,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,COMM400__70,0,1,1,3,1,0,2,1,0,1,0,1
Summer 2015,Upper Division,ARAB314__02,3,3,2,2,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,HUM_397__01,6,2,1,1,0,0,0,0,0,0,0,0
Summer 2015,Upper Division,HUM_597__01,7,0,0,2,0,0,1,0,0,0,0,0
Fall 2015,Lower Division,MUS_180__70,162,12,36,25,2,13,7,1,6,3,1,15
Fall 2015,Lower Division,MUS_180__71,134,10,43,12,8,16,16,0,8,10,1,25
Fall 2015,Lower Division,PSCI203__01,35,10,16,74,23,34,47,6,9,15,7,6
Fall 2015,Upper Division,SSCI316__03,84,33,27,78,16,9,24,4,3,1,1,2
Fall 2015,Upper Division,SSCI316__01,22,18,46,62,47,29,24,7,3,5,4,11
Fall 2015,Upper Division,NSCI310__01,27,12,16,60,18,21,67,15,5,20,0,15
Fall 2015,Lower Division,PHYS121__01,32,28,21,32,34,66,44,0,10,5,2,1
Fall 2015,Upper Division,NSCI314__01,48,25,47,41,32,43,28,0,4,1,2,4
Fall 2015,Upper Division,SSCI316__04,11,25,14,31,42,30,36,33,15,11,7,11
Fall 2015,Upper Division,NSCI300__01,34,23,56,28,20,43,17,7,10,2,3,13
Fall 2015,Upper Division,NSCI360__01,71,34,15,7,23,10,27,12,4,8,8,35
Fall 2015,Lower Division,BIOL100__01,3,13,33,34,21,37,33,14,20,21,2,16
Fall 2015,Upper Division,HUM_375__01,31,41,47,60,14,10,9,6,2,3,1,8
Fall 2015,Lower Division,BIOL200__02,3,7,12,12,18,23,47,6,25,18,2,53
Fall 2015,Lower Division,KINE205__03,9,18,18,33,42,31,23,23,5,3,9,12
Fall 2015,Lower Division,KINE205__01,10,25,23,30,38,22,26,19,5,5,1,21
Fall 2015,Lower Division,PSYC100__02,62,13,22,27,14,16,18,11,8,11,13,10
Fall 2015,Lower Division,HUM_180__01,51,30,33,38,27,15,6,4,4,1,1,13
Fall 2015,Lower Division,ANTH100__01,26,37,0,32,50,0,37,14,0,8,7,9
Fall 2015,Lower Division,PSYC100__01,4,9,19,32,18,21,26,20,17,12,10,27
Fall 2015,Lower Division,PSCI203__04,9,18,20,25,20,28,34,15,12,9,5,18
